numeration,label,text
,Z.K6,"Moralische Leitlinien und Regeln müssen  für die jurKI.entscheidungsweisend sein"
,Z.K2,"Der jurKI, also einem neuronalen Netzwerk bzw. Algorithmus Macht zu übertragen ist gefählich, da sie keine Persönlichkeit und keine ethischen Werte hat."
,Z.K12,"Die jurKI bricht mit dem Recht, nicht einer ausschließlich auf einer automatisierten Verarbeitung beruhenden Entscheidung unterworfen zu werden."
,FAQ.1,"Bei welcher Kategorie von Fällen wird die KI eingesetzt?"
,FAQ.2,"Es wird nicht klar, wieso es hier nicht um eine KI geht, die den Richter:innen unterstützend Arbeit abnimmt statt unabhängig zu entscheiden."
,Z.P3,"Richter:innen sind intern und extern oft hohem Druck ausgesetzt, während eine jurKI keinen Druck verspürt und konstante gute Ergebnisse erzielt. Ein einheitliches Entscheidungsergebnis und die Stabilität und Autorität des Rechts können durch die Verwendung von nichtdiskriminierenden Schlussfolgerungen gestärkt werden."
,Z.P3,"Die KI empfindet keinen Druck und entscheidet stets einheitlich. Im Gegensatz zu Richter:innen, die einer Vielzahl von Einflüssen gegenüberstehen, bleiben ihre Entscheidungen nichtdiskriminierend und authentisch."
,FAQ.4,"Fraglich ist, woher die jurKI ihr Wissen bezieht."
,Z.K7,"Der Einsatz von KI könnte das Berufsbild des:r Richters:in gefährden und somit dazu führen, dass weniger junge Menschen Richter:in werden. Dies würde die Überlastung der Justiz verschärfen und die Demokratie in Gefahr bringen."
,Z.P3,"Im Gegensatz zu Richter:innen steht die jurKI nicht unter Druck, denn sie hat keine Gefühle. Sie liefert beständige und vorhersagbare Ergebnisse, ohne sich beeinflussen zu lassen. Dies führt zu mehr Rechtssicherheit und weniger Diskriminierung."
,FAQ.4,"Fraglich ist, woher die jurKI ihr Wissen bezieht."
,Z.K12,"Aktuell stehen der jurKI einige Regelungen entgegen, denn niemand muss sich nach derzeitigen Stand einem rein automatisch getroffenen Urteil unterwerfen."
,Z.K7,"Eine Reduktion des Berufsbildes Richter:in könnte zu einer sinkenden Motivation für das Jurastudium führen und somit die Demokratie gefährden."
,Z.P4,"Durch die Funktionsweise der jurKI kann diese eine viel größere Datenmenge erfassen und auf Korrelationen untersuchen, als es menschlichen Richter:innen möglich ist."
,Z.P5,"Eine Erleichterung des Zugangs zu Rechtshilfe wird durch die jurKI ermöglicht. Im Vorhinein lassen sich aufgrund der Transparenz der jurKI die erwartbaren Entscheidungen absehen.."
,Z.P6,"Menschen unterliegen häufig systematisch auftretenden Denk- und Wahrnehmungsfehlern. Von diesen sogenannten kognitiven Verzerrungen ist die KI nicht betroffen."
,FAQ.4,"Auf welcher Wissensbasis entscheidet die KI?"
,Z.K10,"Die jurKI könnte aufgrund fehlerhafter Datengrundlage falsche Urteile fällen. Aber sie könnte sich auch trotz hoher Datenqualität irren."
,Z.P5,"KI sorgt für eine Erleichterung des Zugriffs auf Rechtshilfe. Entscheidungen können vorab aufgrund der Veröffentlichung des Regelsystems besser abgeschätzt werden und der Zeitfaktor wird - zumindest in erster Instanz - wesentlich reduziert."
,Z.K9,"Eine Rechtssprechung durch eine unpersönliche Software wird keinen Zuspruch in der Bevölkerung finden."
,Z.P8,"Die jurKi ist günstiger als menschlicher Richter:innen, denn Kosten für die Entwicklung und das Training der KI fallen vor Allem in der Anfangsphase an, während verbeamtete Richter:innen regelmäßig Gehalt kosten."
,FAQ.5,"Wie kann eine KI komplexe Gesetzestexte, die zudem Ermessensspielräume offen lassen, vollständig verstehen? Hohe Komplexität und Veränderbarkeit der Gesetze werden für eine KI zu große Hürden sein, um ein restloses Verständnis der Gesetzestexte zu erlangen."
,Z.P1,"Da eine jurKI immer objektiv sein wird, werden ihre Ergebnisse besser sein. Sie wird nicht durch weitere Einflussmaßnahmen von den objektiven Fakten abgelenkt und urteilt somit gerechter ohne Unterschiede bei gleicher Sachlage zu machen."
,Z.K10,"Die jurKI ist kein perfektes System und wird in ihrem Entscheidungsfindungsprozess den ein oder anderen Fehler machen."
,Z.K7,"Die Motivation für ein Jurastudium und insbesondere das Richteramt speist sich aus dem Berufsbild des:r Richters:in. Ein positiv besetztes Berufsbild führt zu mehr Jurist:innen, was in einer Demokratie sehr wichtig ist."
,FAQ.3,"Was bedeutet der Ausdruck Instanzen?"
,Z.K7,"Die Wahrnehmung des Richteramtes spielt für viele junge Menschen eine große Rolle bei der Berufswahl. Viele orientieren sich an dem Berufsbild des:r Richter:in und sichern durch ihr Studium des Rechts die Demokratie."
,Z.K10,"Als wahrscheinlichkeitsbasiertes System könnte die jurKI trotz hoher Datenqualität fehlerhafte Entscheidungen treffen."
,FAQ.5,"Aufgrund der Komplexität des Gesetzes und der Methodik der Auslegung, wird eine KI bezüglich eines vollständigen Verständnisses an ihre Grenzen stoßen."
,FAQ.1,"Mit welchen Bereichen beschäftigt sich die KI und welche Art von Fällen wird verhandelt?"
,FAQ.5,"Die hohe Komplexität von Gesetztestexten wird es einer KI unmöglich machen, diese jemals vollständig zu verstehen. Zudem kann eine KI Fälle nicht individuell auslegen und alle Umstände in die Entscheidung mit einbeziehen."
,Z.K11,"Die subjetkive Wirkung wird sich mit dem Einsatz von KI ändern, denn Autorität wird ihr nur wenig zukommen."
,Z.K9,"Die jurKI wird nicht akzeptiert werden. Menschen wollen als solche - als Mensch - wahrgenommen und behandelt werden. Dies ist jedoch durch eine jurKI, die eine Softwarelösung ist, nicht gegeben."
,Z.K12,"Der Einsatz von KI kommt einer Abwendung geltender Grundsätze gleich: So schließt beispielsweise Artikel 22 der Datenschutzgrundverordnung unter Anderem die vollständig automatisierte Entscheidungsfindung im Rechtswesen aus."
,Z.K6,"Der jurKI befolgt keine moralischen Leitlinen. Dies könnte unmenschliche Urteile zur Folge haben."
,Z.P6,"Richter:innen machen als Menschen systematische Fehler in ihrem Denken, Erinnern und Urteilen. Diese sogenannten kognitiven Verzerrungen treten bei einer KI deutlich seltener auf."
,FAQ.5,"Die jurKI als regelbasiertes System wird an seine Grenzen stoßen, da es nie in der Lage sein wird, das Gesetz als solches vollständig zu verstehen."
,Z.K11,"Im Gegensatz zu menschlichen Richter:innen, wird man vor einer jurKI weniger Respekt haben. Insbesondere die Kommunikation mit ihr wird weniger ernst genommen werden als mit Richter:innen, die stets eine gewisse Autorität ausstrahlen."
,Z.P6,"Die jurKI überschätzt nicht ihre Fähigkeiten der Entscheidungsfindung. Dieser kognitiven Verzerrung unterliegen jedoch viele Richter:innen."
,Z.P8,"Der Einsatz von jurKI erspart die Arbeit der Entscheidungsfindung für klar entscheidbare Fälle und ist somit günstiger. Teure Richter:innen müssen nur noch in höheren Instanzen der Rechtssprechung eingesetzt werden."
,Z.K4,"Die von der jurKI getroffenen Entscheidungen sind unflexibel und liefern insbesondere bei gleicher Dateneingabe denselben Output. Es fehlt die in der Rechtssprechung notwendige Eremessensmacht des:r Richters:in."
,Z.P2,"Es wird vermutet, dass eine KI den Richtern:innen etwa 20 bis 30 Prozent der Arbeit abnehmen kann. Sie kann rund um die Uhr arbeiten und ihre Vorzüge liegen in der teilweisen oder gänzlichen Automatisierung routinemäßiger Arbeiten, dem vollständigen Erschließen von Wissensdatenbanken und einer Erhöhung der Beratungsqualität."
,Z.P6,"Die Qualität einer Entscheidung wird von ihrem Ergebnis und ihrer Begründung bestimmt. Menschen neigen jedoch oft dazu, sich selbst als bessere Entscheider zu sehen, als sie es tatsächlich sind (kognitive Verzerrung). Bei einer jurKI gibt es dieses Problem nicht."
,Z.P1,"Die Funktionsweise der KI sichert Objektivität bei der Entscheidungsfindung. KI liefert einheitliche Ergebnisse und hält äußeren Einflüssen stand, sodass mehr Gerechtigkeit sichergestellt werden kann."
,Z.P1,"Die jurKI bietet bessere Rechtssicherheit und Gerechtigkeit, da sie keinen individuellen Ermessensspielraum bei der Rechtssprechung  zulässt."
,Z.K4,"Eine KI wird stets das gleich Ergebnis liefern, wenn sie diegleichen Falldaten erhält. Spezifische Umstände werden möglicherweise vernachlässigt, obwohl diese besonders im Zusammenhang mit dem Familienrecht und dem Arbeitsrecht wichtig sind, weil hier individuelle Lösungen erwartet werden."
,Z.K11,"Die jurKI entbehrt jeglicher Menschlichkeit und kann keine subjektive Wirkung hinterlassen. Den Menschen wird es fehlen durch einen Menschen anstatt einer Maschine gerichtet zu werden."
,Z.P5,"Die Gerichte können ihr Regelsystem transparent zur Verfügung stellen, wodurch die zu erwartende Entscheidung in einem Fall abgeschätzt werden kann. So wird der Zugang zu Rechtshilfe erleichtert."
,Z.P2,"Der Überlastung des Rechtswesens lässt sich durch KI entgegenwirken. Diese arbeitet rund um die Uhr und nimmt Richtern zeitintensive Arbeit ab."
,Z.P3,"Die Qualität der Entscheidungen einer KI wird nich von äußerem Druck und Zeitdruck beeinflusst. Die jurKI liefert gleichbleibende und nichtdiskriminierende Urteile. Gefördert werden so die Rechtssicherheit und Einheitlichkeit des Rechtssystems."
,FAQ.4,"Zu klären gilt es, woher die jurKI ihre Informationen bezieht."
,Z.K10,"Da die jurKI für die Entscheidungsfindung mit Wahrscheinlichkeiten und möglicherweise schlechter Datenqualität operiert, kann es vorkommen, dass sie unangemessene und fehlerhafte Ergebnisse liefert."
,FAQ.3,"Um was handelt es sich bei den sogenannten Instanzen?"
,Z.K7,"Eine flächendeckend eingesetzte KI macht das Berufsbild des:r Richters:in unattraktiver. Jedoch ist es für demokratische Verfahren zentral, dass es auch weiterhin viele junge Jurist:innen geben wird."
,FAQ.1,"Mit welchen Fällen setzt sich die KI auseinander?"
,Z.K7-2,"Es bleiben menschliche Richter:innen in höheren Instanzen wie bisher bestehen"
,Z.P8-2,"Die jurKI erspart nur wenig Arbeit, da Berufungen weiterhin in einer höheren Instanz durch Richter:innen bearbeitet werden."
,Z.K2-1-2,"Trotz einer sorgfältigen Rechtssetzung könnte die jurKI zu verantwortungslosen Entscheidungen kommen. Dabei ist der Prozess der Entscheidungsfindung möglicherweise unnachvollziehbar."
,Z.K10-2,"Die jurKI wird nur klar entscheidbare Fälle übernehmen und andere Fälle an menschliche Richter:innen übergeben."
,Z.P3-1-1,"Die jurKI als standardisiertes, lernfähiges System wird korrigierte Fehler nicht wiederholen. Dank großer Datenmengen und Lernprozess reduziert sich die Anzahl gemachter Fehler immer weiter, sodass sie menschlichen Richter:innen überlegen sein wird."
,Z.K10-1,"Auch menschliche Richter:innen irren sich. Durch hochqualitative Trainingsdaten und -prozesse wird die Fehlerrate einer KI jedoch menschliche Fehlerraten schlagen können."
,Z.P3-1,"Unerkannt fehlerhafte Urteile der jurKI würden sich wiederholen und weitreichende Schäden anrichten."
,Z.K11-1,"Zwar ist die jurKI unpersönlich, jedoch liefert der geringe Ermessensshpielraum der KI eine Rechtssicherheit, die menschlice Richter:innen in ihrer subjektiven Rechtssprechung nicht derart zuverlässig bieten."
,Z.P3-1-2,"Ein falsches Urteil durch eine jurKI hat dieselben Konsequenzen wie ein falsches Urteil durch einen menschlichen Richter. Daher gibt es keinen Grund, von einer größeren Schädigung durch die jurKI im Vergleich zu einem Richter auszugehen."
,Z.K12-1,"Unsere Vorstellung basiert auf einem rechtsstaatlichen System ohne Widersprüche. Es ist zu erwarten, dass die Weiterentwicklung der Technologie zu einer Überarbeitung und Anpassung solcher Grundsätze führen wird."
,Z.P4-1,"Auch eine jurKI hat ihre Grenzen und kann nicht alle Faktoren umfassend erfassen. Dies liegt an Einschränkungen bei der Datenqualität und -menge, bei Algorithmen und Rechenleistung. Es könnten noch weitere Variablen im menschlichen Verstand verborgen sein."
,Z.K6-3,"Der Einsatz von jurKI in der Justiz müsste natürlich den ethischen Grundsätzen entsprechen, die zum Beispiel von der Europäischen Kommission für die Effizienz der Justiz des Europarates (CEPEJ) vorgelegt wurden."
,Z.K6-1,"Als zertifizierter Service des Staates kann die jurKI moralische Grundsätze und Regeln vorgeben. Dabei werden die Erkenntnisse der Philosophie und Computerwissenschaft berücksichtigt und beispielsweise in ein passendes Diskriminierungsgesetz übertragen."
,Z.K6-2,"Dieser Einwand ist technisch unzutreffend und setzt ein idealisiertes Bild von Richter:innen voraus. Die jurKI lernt auf Basis von Beispielen und kann Werte vermittelt bekommen (supervised learning)."
,Z.K2-1,"Die jurKI kann Gründe für ihre Entscheidungen, welche auf einem strikten Regelwerk basieren, angeben und wirkt daher menschlich."
,Z.K9-1,"Die Akzeptanz neuer Technologien ist nur eine Frage der Zeit. Positive Erfahrungen mit der Technologie und die höhere Rechtssicherheit, die durch die jurKI bereitgestellt wird, werden die Akzeptanz fördern."
,Z.P1-1-1,"Ein Rechtsspruch sollte auf Grundlage des Gesetzes erfolgen und nicht von Subjektivität geleitet sein."
,Z.K2-1-1-2,"Da das Regelwerk transparent und öffentlich ist werden keine unangemessenen Kosten für Interpretierbarkeitsregeln anfallen."
,Z.K2-1-1,"Hohe Kosten entstehen dadruch, dass der Entscheidungsprozess der jurKI möglicherweise manuell geprüft werden muss."
,Z.K7-1,"Die Justiz wird auch weiterhin auf die Arbeit von Richter:innen angewiesen sein, die für die jurKI die tatsächliche Sachlage aufnehmen."
,Z.P8-1,"Beim Entscheidungsprozess von Richter:innen spielen Kosten eher eine untergeordnete Rolle. Außerdem könnte der Einsatz der jurKI zu mehr Kosten führen, da die Richter:innen mehr Zeit für kompliziertere Fälle haben, welche nicht von der jurKI entschieden werden."
,Z.P1-2,"Unterschiedliche Urteile werden von Richter:innen getroffen, da diese unterschiedliche Menschen sind. Dass richtige Abwägungen kommen können."
,Z.K2-1-2-1,"Auch bei Richter:innen lässt sich aufrichtige Begründung und Rationalisierung nur sehr schwer voneinander unterscheiden. Dies ist kein KI-spezifisches Problem und dürfte sogar bei der jurKI erfolgsversprechender sein als bei Richter:innen."
,Z.K6-1,"Die Entwicklung der jurKI ist an moralische Werte und Leitlinien geknüpft und bedient sich des Wissens aus Philosophie und Computerwissenschaft. Erst wenn sie zuverlässig hochqualitative Ergebnisse liefert wird sie als zertifizierter Service des Staates eingesetzt."
,Z.K2-1-1-2,"Es kommt nicht zu einem Anstieg der Kosten, da das Regelwerk durch die Justiz offengelegt wird."
,Z.K2-1-2,"Eine von der jurKI wohlbegründete Entscheidung könnte Entscheidungsparameter außer Acht lassen, die wichtig für die getroffene Entscheidung waren. Dies zeigt sich beispielsweise beim Blackbox-Verhalten vieler KIs."
,Z.K2-1-2-1,"Auch von Richter:innen werden im aktuellen Rechtssystem unaufrichtige Entscheidungen getroffen, da Begründung und Rationalisierung bei ihnen schwer zu unterscheiden ist."
,Z.K9-1,"Wenn neue Technologien einen Mehrwert bieten ist der Weg zu ihrer Akzeptanz meist nur eine Frage der Zeit."
,Z.K6-3,"Die Entwicklung der jurKI folgt ethischen Grundsätzen wie sie zum Beispiel von der Europäischen Kommission für die Effizienz der Justiz des Europarates (CEPEJ) vorgelegt worden sind."
,Z.K12-1,"Grundsätze müssen sich weiterentwickeln, um auf neue Gegebenheiten zu reagieren. Der Einsatz der jurKI macht ein Überdenken gängiger Grundsätze notwendig."
,Z.K7-1,"Auch in Zukunft werden menschliche Richter:innen gebraucht um die Implementierung der Sachlage zu übernehmen und kompliziertere Fälle zu entscheiden."
,Z.P1-1-1,"Die menschliche Subjektivität gibt der Entscheidung lediglich einen gewissen Ermessensspielraum. Die Basis der richterlichen Entscheidung bleibt das Gesetz."
,Z.P8-1,"Beim Entscheidungsprozess von Richter:innen spielen Kosten nur eine Nebenrolle. Die Implementierung der Sachlage muss weiterhin von den Richter:innen übernommen werden und lässt die Kosten durch Einsatz der jurKI eher steigen."
,Z.P4-1,"Eine KI ist nur so gut wie der Datensatz, auf dem operiert wird. Schlechte Datenqualität oder Datenquantität könnten dazu führen, dass die jurKI nicht alle Faktoren erkennt."
,Z.K10-1,"Der Einsatz der jurKI lohnt sich, wenn diese weniger oft irrt als menschliche Richter:innen. Qualitativ hohe Trainigsdaten stellen niedrige Fehlerraten sicher."
,Z.P1-2,"Menschliche Richter:innen unterscheiden sich in ihrer Persönlichkeit und entscheiden daher verschieden. Dabei sind ihre Entscheidungen meist Ergebnis verschiedener richtiger Abwägungen."
,Z.P1-2,"Menschliche Richter:innen sind vielfältige Personen und entscheiden daher unterschiedlich. Dabei sind ihre Entscheidungen meist Ergebnis verschiedener richtiger Abwägungen."
,Z.K2-1,"Die jurKI kann ein striktes Regelwerk nicht verlassen. Ihre Entscheidungen sind klar nachvollziehbar, transparent und können auf Nachfrage begründet werden."
,Z.P3-1,"Bei gleichem Input liefert die jurKI stets denselben Output. Fehlerhafte Urteile würden sich daher strukturell fortsetzen und zu großen Schäden führen."
,Z.P8-2,"Eine KI kann nicht mit Berufungen umgehen, denn sie würde dasselbe Ergebnis wieder erzielen. Die Berufung gegen eine jurKI müsste also von einer höheren Instanz mit meschlichen Richter:innen bearbeitet werden."
,Z.K7-2,"Das Berufsbild des:r Richter:in wird sich wenig wandeln, denn die jurKI wird zunächst nur in der ersten Instanz eingesetzt, sodass es weiterhin menschliche Richter:innen geben wird."
,Z.K10-2,"Die jurKI wird so entwickelt, dass sie nur Fälle übernimmt, die sie selbst beurteilen kann. Menschliche Richter:innen werden alle anderen Fälle entscheiden."
,Z.K11-1,"Menschen haben sich daran gewöhnt von Maschinen umgeben zu sein. Sie lassen sich von Apps und Videos beraten. Wieso sollten sie nicht auch von einer KI verurteilt werden?"
,Z.K6-2,"Die jurKI ist ein lernfähiges System. Durch das sog. supervised learning und Lernverfahren, die Bottom-Up operieren, können der jurKI juristische Werte beigebracht werden."
,Z.P3-1-1,"Fehler können auch bei der jurKI passieren. Diese werden sich mit der Zeit immer weiter reduzieren, da das lernende System stets weiterentwickelt wird und riesige Datenmengen zum Lernen zur Verfügung stehen werden."
,Z.P3-1-1,"Fehler lassen sich bei der jurKI nicht vermeiden. Die Fehlerrate reduziert sich immer weiter, da KI ein lernendes System ist, dem riesige Datenmengen zum Lernen zur Verfügung stehen."
,Z.P4-1,"Auch mit neuronalen Netzwerken und auf der Grundlage riesiger Datenmengen kann es Faktoren geben, die der jurKI unzugänglich bleiben. Der menschliche Verstand ist möglicherweise fähig mehr Zusammenhänge herzustellen. Die schiere Anzahl der Vernetzungen im Hirn übertrifft jegliche KI."
,Z.K10-2,"In Fällen, die für die jurKI schwierig oder unmöglich zu beurteilen sind, wird sie diese an menschliche Richter:innen weiterleiten und aus deren Entscheidungen lernen, um in zukünftigen, ähnlichen Fällen besser entscheiden zu können."
,Z.K2-1-2-1,"Die Unterscheidbarkeit von Begründung und Rationalisierung dürfte bei der jurKI deutlich leichter fallen als bei menschlichen Richter:innen."
,Z.K2-1-1-2,"Durch das ohnehin vom Gericht veröffentlichte Regelwerk, sind die Regeln der jurKI transparent und öffentlich zugänglich. Zusätzliche Kosten würden somit im Rahmen der notwendigen Interpretationen somit nicht anfallen."
,Z.K6-1,"Als vom Staat zertifizierter Service unterliegt die jurKI strengen moralischen Leitlinien und Werten, die sich insbesondere aus den aktuellsten Erkenntnissen der Philosophie und Computerwissenschaften zusammen setzen."
,Z.K2-1-1,"Die Kosten der jurKI könnten enorm ansteigen, da jedes einzelne Ergebnis interpretiert werden können und entsprechend manuell überprüfbar sein muss."
,Z.K12-1,"Grundsätze müssen sich weiterentwickeln, wenn zunehmend mehr Macht an Algorithmen und neue Technologien übertragen wird. Es müssen Regeln und Leitlinien geschaffen werden, die solche Systeme angemessen regulieren."
,Z.K7-1,"Die jurKI macht Richter:innen nicht überflüssig. Sie werden weiterhin benötigt, um koordinativ tätig zu sein und Fälle höherer Instanz zu entscheiden."
,Z.P3-1-2,"Fehlerhafte Entscheidungen der KI führen zu den gleichen Konsequenzen wie fehlerhafte Entscheidungen von Richter:innen. Es gibt keinen Grund anzunehmen, dass Fehler der KI eine größere Tragweite hätten."
,Z.K6-3,"Die Programmierung und Einrichtung der jurKI sieht vor, dass ethische Grundsätze zu Leitlinien der Entscheidungsfindung werden. Zum Vorbild dienen dabei zum Beispiel Grundsätze der Europäischen Kommission für die Effizienz der Justiz des Europarates (CEPEJ)."
,Z.K9-1,"Die jurKI wird akzeptiert werden, weil sie einen Mehrwert bietet. Akzeptanz neuer Technologien ist stets eine Frage der Zeit."
,Z.K6-2,"Eine KI kann lernen sich an juristische Werte zu halten. Beim sogenannten überwachten Lernen wird die KI mit vollständig gelabelten Daten trainiert und kann auf diese Art Werte erlernen."
,Z.P8-2,"Eine jurKI würde im Zweifel nur zu einer Verlagerung der Gerichtsverfahrens in eine höhere Instanz sorgen, da gegen ihre Urteile stets Berufungen möglich sein werden, die von menschlichen Richter:innen durchgeführt werden."
,FAQ.5-1,"Probleme könnten sich dabei ergeben, dass eine KI das Gesetz aufgrund seiner Komplexität nie vollständig verstehen können wird."
,FAQ.2-1,"Eine Unterstützung der Richter:innen durch eine jurKI, führt aus ethischer Sicht zu relativ wenig Problemen."
,FAQ.1-1,"Die jurKI beschränkt sich ausschließlich auf zivilrechtliche Verfahren, wobei hierbei das Familienrecht vollständig exkludiert ist."
,FAQ.4-1,"Die jurKi ist ein regelbasiertes System, das heißt sie zieht ihre Informationen primär aus Gesetzestexten und der bisherigen Rechtsprechung."
,FAQ.5-1,"Der Diskussion wird die Annahme eines widerspruchsfreien Rechtsystems zugrunde gelegt."
,FAQ.3-1,"Die Instanz beschreibt eine organisatorische Einheit, die Teil einer hierarchischen Weisungsstruktur ist. Des weiteren besitzt sie eine Weisungsbefugnis gegenüber ihr untergeordneter Stellen.r"
,FAQ.2-1,"Eine lediglich unterstützende jurKI, etwa bei der Vor- und Nachbereitung von Schriftsätzen und Akten trifft nicht den Kern einer konträren Diskussion, da diese Arbeit aus ethischer Sicht wohl nahezu unproblematisch erscheint."
,FAQ.5-1,"In der Diskussion wird von einem widerspruchsfreien Rechtssystem ausgegangen, das heißt im Umkehrschluss die Wahrung der Einheit der Rechtsordnung."
,FAQ.5-1,"In diesem zukünftigen Szenario gehen wir von der Existenz eines widerspruchsfreien Rechtssystems aus. Die jurKI wird - anders als manche menschlichen Richter:innen -  stets alle vorgegebenen Regeln beachten."
,FAQ.4-1,"Die jurKI müsste neben neuronalen Fähigkeiten ebenfalls durch Regeln trainiert werden. Hierbei erscheint es fundamental, dass die dem regelbasierten System zugrunde liegenden Gesetze korrekt und vollständig sind."
,FAQ.1-1,"Die jurKI ist auf zivilrechtliche Verfahren spezialisiert. Fälle des Familienrechts und ebenfalls des Strafrechts sind vollständig von der Betrachtung ausgeschlossen."
,FAQ.4-1,"Die jurKI lernt aus konkreten Falldaten und den aktuellen Gesetzestexten. Diskriminierungs- und widerspruchsfreie Fälle dienen dabei als Datengrundlage, sodass statt aller Falldaten nur die Hochqualitativen zum Training der jurKI verwendet werden."
,FAQ.3-1,"Instanzen sind als wesentlicher Teil des Rechtsstaates eine Einheit zur Kontrolle von Gerichtsentscheidungen in der nächsthöheren Instanz und können im deutschen Rechtssystem in der Regel zweimal durchlaufen werden."
,FAQ.3-1,"Als Instanz wird eine organisatorische Einheit des hierarchisch gegliederten Rechtssystems bezeichnet. Es handelt sich also um das nach dem Gesetz zuständige Gericht. Das Recht lässt sich also in einem mehrstufigen Verfahren - dem Instanzenzug - geltend machen."
,Z.K7-2,"Es werden auch in Zukunft menschliche Richter:innen benötigt. Diese werden insbesondere im Strafrecht und in höheren Instanzen des Rechts tätig sein."
,Z.K2-1,"Da die jurKI ein regelbasiertes System ist, kann sie klare Begründungen für ihre Urteile liefern. Das transparente Regelsystem ist offengelegt und kommt vielen Nachfragen zuvor."
,Z.P1-1-1,"Für ein richterliches Urteil dienen die Gesetzestexte und Regelwerke als Basis. Zwar gibt es einen gewissen Spielraum in der Entscheidungsfindung, welchen die jurKI tendenziell nicht wahrnehmen kann, jedoch spielt dieser subjektive Teil nur eine sehr untergeordnete Rolle in der Rechtssprechung."
,FAQ.1-1,"Die jurKI verhandelt nur Fälle des Zivilrechts, das Strafrecht ist ausgeschlossen. Zivilrecht ist in das allgemeine bzw. bürgerliche Privatrecht und in das Sonderprivatrecht unterteilt ist. Ausgenommen von unserer Betrachtung wird das Familienrecht."
,FAQ.2-1,"Unterstützung durch KI findet bei Richter:innen bereits statt, zum Beispiel durch das Erkennen bestimmter Textteile und automatische Einordnen in passende Akten. Diese Verwendung von KI ist ethisch gesehen verhältnismäßig problemlos und daher nicht Teil unseres Szenarios."
,Z.K2-1-2,"Wie lässt sich das von der KI gelieferte Ergebnis nachvollziehen? Das Blackbox-Verhalten der KI und die Intransparenz ihrer Begründungen lassen viel Raum für unaufrichtige Entscheidungen."
,Z.P8-1,"Das oberste Ziel der Rechtssprechung ist Gerechtigkeit zu schaffen. Dabei sind Kosten nur eine marginaler Faktor. Außerdem könnte der Einsatz von KI zu höheren Kosten führen, da Richter:innen weiterhin die Sachlage eines Falles analysieren und in das Rechtssystem einbetten müssen, um eine rechtliche Entscheidung zu treffen."
