prev_labels,type,label,text
"['intro_27', 'Z.C2-1', 'intro_3', 'Z.C2-1-1']",user,NZ.G3,Das ist ja aber nicht das problem der ki
['intro_62'],user,NZ.G3,"Wenn andere menschen riskant fahren, ist das deren schuld und nicht der ki"
"['intro_2', 'z_trans_13', 'Z.C4']",user,Z.C4-1,Das kann man ja aber durch eine gute firewall absichern
['intro_62'],user,Z.C4-1,Das kann man sicher machen
"['intro_3', 'z_trans_2', 'Z.C8']",user,Z.C8-1,Das kann man lösen indem keine daten gespeichert werden
['intro_61'],user,Z.C8-1,Daten nicht speichern
"['intro_1', 'z_trans_2', 'Z.P2-1']",user,INSULT,Mimimi
[],user,Z.C2-1,KI könnte das Fahren sicherer machen.
"['intro_28', 'Z.C2-1', 'intro_1', 'Z.C2-1-1']",user,Z.P2,Auto fahren würde weniger anstrengend werden.
['intro_61'],user,Z.P2,Man muss sich beim Fahren nicht konzentrieren.
"['intro_3', 'z_trans_12', 'Z.P8-1']",user,UNKNOWN,Fernfahrer müssen keine Pausen machen.
['intro_62'],user,Z.P14,Man muss keine Personen für den ÖPNV einstellen.
"['intro_1', 'z_trans_12', 'Z.C5']",user,Z.P1,Berufsfahrer müssen keine Pausen einlegen.
['intro_62'],user,Z.C2-1,Tempolimits werden eingehalten.
"['intro_2', 'z_trans_13', 'Z.C10']",user,Z.P11,Verkehrsregeln werden eingehalten.
['intro_61'],user,Z.P12,Der Verkehr läuft flüssiger.
[],user,Z.P11,Ich finde eine KI kann viel genauer im Straßenverkehr agieren als ein Mensch. Menschen sind deutlich Fehleranfälliger!
['intro_61'],user,Z.P11,Eine KI ist nicht so Fehleranfällig wie wie ein Mensch und ist daher deutlich sicherer.
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,"Ja aber wenn alle Fahrzeuge KI gesteuert wären, wäre das irrelevant."
['intro_62'],user,Z.GP2,"Wenn alle Fahrzeuge KI gesteuert sind, sind andere Menschliche Fahrer nicht mehr im Straßenverkehr und somit muss die KI nicht für menschliche Fehler entwickelt werden."
"['intro_1', 'z_trans_12', 'Z.C5']",user,Z.C5,Ja das kann sein aber das ist bei Veränderungen der Umwelt eines Menschen immer so.
['intro_61'],user,Z.C5,Menschen haben immer Angst vor Veränderungen.
"['intro_2', 'z_trans_11', 'Z.C10']",user,Z.C10,Ja das sehe ich auch so. Die KI müssen ebenfalls einem Recht folgen und dem Menschen untergeordnet sein.
['intro_61'],user,Z.C10,Eine KI muss auch dem Rechtlichen Rahmen folgen wie Menschen.
"['intro_1', 'z_trans_11', 'Z.C2']",user,Z.C2-1,"Wenn alle Fahrzeuge mit KI fahren würden wäre das kein Problem, da die Systeme untereinander kommunizieren könnten und die Fahrzeiten sich dadurch verringern würden, sowie Staus und Unfälle."
[],user,Z.P11,Sicherheit
['intro_61'],user,Z.P11,Es wäre sicherer
"['intro_2', 'z_trans_12', 'Z.P8-1']",user,OTHER,Aber wenn es nur autonomes fahren gibt
['intro_62'],user,OTHER,Wenn alle Autos nur autonom fahren gibt es das Problem nicht
"['intro_1', 'z_trans_12', 'Z.C5']",user,OTHER,Über lange Zeit wird es keine Wahl mehr geben
['intro_61'],user,Z.P1,Es ist für die Menschen entspannter und man kann andere Sachen während der Fahrt machen
"['intro_3', 'z_trans_2', 'Z.C10']",user,clarify,Durch autonomes Fahren ergibt sich ein wirtschaftlicher neuer Raum
['intro_62'],user,Z.P12,Man könnte schneller an sein Ziel kommen
"['intro_3', 'z_trans_13', 'Z.C2']",user,Z.P12,Es wäre Kraftstoff sparend
['intro_62'],user,Z.P12,Bei autonomen Fahren würde man Kraftstoff sparen
"['intro_1', 'z_trans_13', 'Z.C4']",user,Z.P11,Bei normalen Autos passieren mehr Unfälle und Anschläge
['intro_61'],user,Z.P11,In autonomen Autos kann man nicht in Menschenmengen fahren
"['intro_2', 'z_trans_2', 'Z.C8']",user,Z.C3,Bei schlechtem Wetter könnten die Systeme nicht mehr funktionieren
['intro_62'],user,Z.C3,Bei schlechtem Wetter funktionieren die Systeme des Autonomen Fahrens nicht mehr so gut
"['intro_1', 'z_trans_12', 'Z.P2-1']",user,Z.C8,Bei den rege Datenaustausch könnte es zu Datenschutz Verletzungen kommen
['intro_61'],user,Z.C8,Bei Autonomen fahren gibt es viel Datenaustausch. den das könnte zu Datenschutz Verletzungen kommen
"['intro_1', 'z_trans_2', 'Z.C6']",user,CONSENT,Das stimmt
[],user,Z.P11,Durch vollständig autonomes fahren würden keine unfälle mehr entstehen
['intro_61'],user,Z.P11,weniger bis keine unfälle
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,NZ.G1,wenn kein mensch mehr fährt kommt es nicht dazu
['intro_62'],user,CONSENT,okay
"['intro_2', 'z_trans_2', 'Z.C5']",user,CONSENT,ich akzeptiere
['intro_62'],user,OTHER,find führerlose fahrzeuge gut
"['intro_3', 'z_trans_11', 'Z.C10']",user,DISSENT,sollte kein problem sein
['intro_61'],user,CONSENT,okay
"['intro_1', 'z_trans_12', 'Z.C2']",user,DISSENT,stimme ich nicht zu
['intro_62'],user,Z.P12,theoretisch wird der verkehr effizienter durch weniger fehler der menschen
"['intro_1', 'z_trans_2', 'Z.C4']",user,Z.C4-1,durch sensoren im auto die kollisionen vermeiden sollen könnte man das verhindern
['intro_61'],user,DISSENT,nein
"['intro_1', 'z_trans_2', 'Z.C8']",user,OTHER,habe ich noch nicht dran gedacht
['intro_62'],user,DISSENT,nein
"['intro_3', 'z_trans_13', 'Z.P2-1']",user,DISSENT,find ich unlogisch
['intro_62'],user,DISSENT,stimme ich nicht zu
[],user,Z.P11,Mehr Sicherheit
['intro_61'],user,Z.P11,Durch beispielsweise Unachtsamkeit verursachte Unfälle konnten so verhindern werden. Der Straßenverkehr würde so sicherer werden
"['intro_1', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,"Wenn alles Autos durch KI gefahren werden würde, gäbe es dieses Problem nicht"
['intro_62'],user,Z.GP2,"Wenn nur noch autoKIs an Straßenverkehr teilnehmen würde, müssten sich die KI auch nicht auf irrationales Fahrverhalten einstellen"
"['intro_3', 'z_trans_2', 'Z.C5']",user,CONSENT,Ja stimmt.
[],user,Z.C11,"Falls die Technik versagen sollte, ist unklar, wer schuldig ist"
['intro_61'],user,Z.C11,"Es ist schwierig zu sagen, wer im Falle eines Unfalls die Schuld trägt"
"['intro_1', 'z_trans_11', 'Z.P6']",user,Z.P6-1,"Das stimmt, aber es gibt auch Angebote für diese Menschen, die von Nicht-KI-gesteuerten Fahrzeugen gefahren werden"
['intro_62'],user,Z.P6-1,Nicht-autonome Fahrzeuge können genau so genutzt wrrden
"['intro_3', 'z_trans_2', 'Z.P7']",user,CONSENT,Ja das ist richtig
['intro_62'],user,CONSENT,"Das stimmt, du hast recht"
"['intro_1', 'z_trans_11', 'Z.C2-1']",user,Z.P9-1,"ja, aber KI ist nicht so sicher wie von Menschen gesteuerte Fahrzeuge"
['intro_62'],user,Z.P11,Technik kann nicht emotional reagieren
[],user,Z.P11,Mit autonomen Fahren passieren weniger Unfälle.
['intro_61'],user,Z.P11,Weniger Unfälle
"['intro_2', 'z_trans_11', 'Z.P8-1']",user,Z.GP2,Alle Autos mit ki
['intro_62'],user,Z.GP2,Wenn alle Autos mit ki fahreny dann gibt es kein irraionales Fahrverhalten
"['intro_1', 'z_trans_12', 'Z.C5']",user,Z.C5-2,Dafür muss mehr Akzeptanz in der Gesellschaft geschaffen werden
"['intro_27', 'Z.C5-2', 'intro_5', 'z_trans_1', 'Z.C4']",user,Z.C4-1,Abschottung der Straßen von anderen Verkehrsteilnehmern
['intro_62'],user,Z.GP2,Auf den Straßen sollten deshalb nur Autos fahren dürfen
"['intro_1', 'z_trans_13', 'Z.C10']",user,Z.C10,Die Politik sollte die Rahmenbedingungen dafür schaffen
['intro_62'],user,Z.C10,Die Politik sollte Gesetze erlassen um autonomes fahren zu erlauben
"['intro_3', 'z_trans_13', 'Z.C2']",user,NZ.G2,Die Autos müssten deshalb untereinander vernetzt sein
['intro_61'],user,NZ.G2,Autos aller Hersteller müssten dann untereinander kommunizieren können
"['intro_2', 'z_trans_2', 'Z.C8']",user,Z.C8-1,Dafür gibt es Datenschutzgesetze
[],user,Z.P11,"Menschen machen öfter Fehler als Maschinen, wenn die Maschinen ordentlich getestet sind. Ein autonom fahrendes Auto wird z.B. nicht müde."
['intro_61'],user,Z.P11,Menschen machen mehr Fehler als Maschinen
"['intro_3', 'z_trans_11', 'Z.P8-1']",user,Z.C6-1,"Ich denke, dass es für das Programm keinen Unterschied zwischen müden und aufmerksamen Fahrern gibt. Da auch aufmerksame Fahrer Fehler machen können"
['intro_62'],user,OTHER,Auch aufmerksame Fahrer können sich irrational verhalten
"['intro_2', 'z_trans_2', 'Z.C5']",user,Z.P1-1,"Menschen finden es generell positiv, wenn ihnen Arbeit abgenommen wird. Wenn man als Beruf Auto fährt wird man das aber schlecht finden"
['intro_62'],user,Z.P2,"Menschen finden es generell positiv, wenn ihnen Arbeit abgenommen wird"
"['intro_3', 'z_trans_13', 'Z.C10']",user,Z.C6-3-1,In diesem Fall sind die Entwickler für die Fehler des Autos verantwortlich
['intro_61'],user,Z.C6-3-1,Die Entwickler tragen die Verantwortung für die Autos
"['intro_2', 'z_trans_11', 'Z.C2']",user,Z.P12,"Die Effizienz wird denke ich besser, da man den Verkehr steuern kann. Die Geschwindigkeitsbegrenzungen sind nur nötig, wenn man alles zentral steuern wollte"
['intro_61'],user,Z.P12,"Die Effizienz wird denke ich besser, da man den Verkehr steuern kann"
"['intro_3', 'z_trans_13', 'Z.C4']",user,OTHER,Das ist aber bei heutigen Autos auch so
['intro_62'],user,Z.C4,"Autos, die von bösen Menschen gesteuert werden sind aber noch gefährlicher"
"['intro_1', 'z_trans_11', 'Z.C8']",user,Z.C8-1,"Nicht, wenn es dezentralisiert eine Peer-To-Peer Verbindung zwischen den Autos gibt und but anonymisierter Daten zur Verkehrsoptimierung an einen zentralen Server geschickt werden"
['intro_61'],user,Z.C8-1,"Nicht, wenn es dezentralisiert eine Peer-To-Peer Verbindung zwischen den Autos"
"['intro_2', 'z_trans_11', 'Z.P2-1']",user,Z.P2,"Menschen finden es generell positiv, wenn ihnen Arbeit abgenommen wird"
['intro_62'],user,OTHER,Das hast du schon gefragt
"['intro_1', 'z_trans_2', 'Z.C6']",user,Z.C6,"Das stimmt. Aber dafür gibt es auch heute keine Norm. In diesem Fall sollte das Menschenleben gefährdet werden, dass die größte Überlebenschance hat."
['intro_61'],user,CONSENT,Das stimmt. Aber dafür gibt es auch heute keine Norm
"['intro_3', 'z_trans_11', 'Z.P11-1']",user,Z.P11-1-1,Das kann man von einem Server abfragen
['intro_61'],user,Z.P11-1-1,"Wenn sich das Auto nicht sicher ist, soll es einen Server abfragen"
[],user,UNKNOWN,"Selbstfahrende Autos sind sicherer und können besser und schneller reagieren, als ein Mensch es kann"
"['intro_25', 'Z.C2-1', 'intro_2', 'Z.C2-1-1']",user,Z.P11,"es werden Unfälle vermieden und Menschenleben gerettet, das sollte im Interesse aller sein"
['intro_61'],user,Z.P8,durch schnellere Erkennung von Gefahren werden Unfälle vermieden
"['intro_1', 'z_trans_2', 'Z.P8-1']",user,Z.C5-1-1-1,"es muss mit Übergangs Autos angefangen werden, die nicht komplett selbstfahren und der Mensch trotzdem immer aufmerksam bleiben, bis alle Autos autonom fahren"
['intro_62'],user,Z.C5-1-1-1,"zuerst sollte der Fahrer/ Fahrerin trotzdem aufmerksam sein und regelmäßig eingreifen können, wenn das Auto trotzdem autonom fahren würde"
"['intro_2', 'z_trans_13', 'Z.C5']",user,NZ.G3,"so lange, bis alle Autos autonom fahren"
['intro_62'],user,Z.C5-2,"es wird immer Menschen geben, die skeptisch sind, dennoch kann das die Gesellschaft nicht von neuen Technologien abhalten"
[],user,UNKNOWN,"Ich finde Autonomes Fahren, dann richtig wenn es keine Gefährdung für die Menschen im Verkehr darstellt."
"['intro_25', 'Z.P4', 'intro_1', 'Z.P4-1']",user,Z.P8-1,Ist es nicht gefährlich wenn die KI zu spät realisiert das ein Unfall bevorsteht.
['intro_61'],user,NZ.G1,Fahren durch die KI ist gefährlicher als normales Autofahren.
"['intro_3', 'z_trans_13', 'Z.P8-1']",user,NZ.G3,Das funktioniert nur wenn alle im Straßenverkehr autonom fahren.
['intro_62'],user,NZ.G3,"Nur wenn der gesamte Straßenverkehr durch KI gesteuert ist, kann diese Idee funktionieren"
"['intro_3', 'z_trans_11', 'Z.C5']",user,Z.P2-1,Der Mensch ist nicht bereit sich zu ändern. Denn Auto fahren ist auch ein Lifestyle.
['intro_61'],user,Z.P2-1,Menschen gefällt es selbst zu fahren.
"['intro_3', 'z_trans_13', 'Z.C10']",user,Z.P10-1,Viele Menschen würden ihre Arbeit verlieren.
['intro_61'],user,Z.P10-1,Busfahrer werden arbeitslos.
[],user,Z.P10,Die Zulassung ist wichtig für innovativen Transport in der Zukunft !
['intro_61'],user,Z.P10,Um in Zukunft Güter autonom zu transportieren brauchen die Autos eine Zulassung
"['intro_1', 'z_trans_12', 'Z.P8-1']",user,Z.P11,"Wenn die Auto Ki weniger Fehler macht als Menschen, warum sollte sie dann nicht alleine Fahren dürfen"
['intro_62'],user,Z.P11,Die Menschen machen mehr Fehler als die KI beim fahren
"['intro_3', 'z_trans_12', 'Z.C5']",user,NZ.G3,"Kurzfristig wird das schwer umzusetzen , aber langfristig ist das möglich"
['intro_61'],user,Z.C5-1-1-1,Menschen sollten die Kontrolle trotz der Zulassung behalten
"['intro_1', 'z_trans_2', 'Z.C10']",user,Z.C11-1,Der kann geschaffen werden .
['intro_61'],user,Z.C11-1,Menschen können die Gesetze machen das ist kein Problem
"['intro_3', 'z_trans_13', 'Z.C2']",user,Z.P8,Das stimmt nicht. Maschinen denken schneller als Menschen.
['intro_61'],user,DISSENT,Du hast unrecht mit deiner These
"['intro_3', 'z_trans_2', 'Z.C4']",user,Z.C4,"Das stimmt das müsste man verhindern, man kann aber genauso den aktuellen Verkehr manipulieren !"
['intro_62'],user,DISSENT,Nein
[],user,OTHER,Energiesparend
['intro_61'],user,OTHER,Wie meinst du das
"['intro_1', 'z_trans_12', 'Z.P8-1']",user,OTHER,Ok
[],user,Z.P8,Die KI trifft wesentlich schneller und ohne Einfluss von Emotionen Entscheidungen und kann somit Unfälle durch menschliches Versagen auf 0 reduzieren
['intro_61'],user,Z.P8,Menschen entscheiden in Stresssituationen anders bzw. schlechter als eine zu 100% rationale KI.
"['intro_2', 'z_trans_12', 'Z.P8-1']",user,NZ.G1,"Um sich nicht auf irrationales Verhalten von anderen Verkehrsteilnehmern einstellen zu müssen, sollte jedes Fahrzeug die autoKI verwenden."
"['intro_28', 'Z.P8-1-1', 'intro_5', 'z_trans_16', 'Z.C6']",user,Z.C6,"Wie du bereits anmerkst, kann für derartige Situationen ethisch keine richtige Entscheidung getroffen werden, weder vom Menschen, noch von der Maschine. Es entstünde hier also kein Nachteil durch Nutzung der KI"
['intro_62'],user,Z.C6,"Weder ein Mensch, noch eine KI könnte in derartigen Situationen richtig entscheiden"
"['intro_1', 'z_trans_13', 'Z.C5']",user,Z.C5-2,"Die Gesellschaft muss langsam an die neue Technologie herangeführt werden, um Vertrauen aufzubauen. Dies geschieht bereits mit beispielsweise dem Spurhalteassistenten und ähnlichen Hilfsmitteln"
['intro_61'],user,Z.C5-2,"Um über die Skepsis der Gesellschaft hinwegzukommen, muss die autoKI Schritt für Schritt etabliert werden, damit die Menschen Zeit haben, sich daran zu gewöhnen und Vertrauen aufzubauen"
"['intro_3', 'z_trans_2', 'Z.C10']",user,CONSENT,Der Punkt ist tatsächlich ein kompliziertes Hindernis
['intro_61'],user,Z.C11-1,"Die Menschheit hat früher schon für neue Technologien rechtliche Rahmen geschaffen, das sollte auch wieder möglich sein."
"['intro_1', 'z_trans_12', 'Z.C2']",user,Z.P12,Ich glaube gerade Stadtverkehr könnte sogar noch effizienter werden. Die Situationen im Stadtverkehr sind teilweise zu komplex für einen Menschen zu verstehen. Hier könnte eine KI helfen.
['intro_61'],user,Z.P12,Stadtverkehr würde durch die KI sogar effizienter werden.
[],user,NZ.G1,Unfallgefahr
['intro_61'],user,NZ.G1,Die Unfallgefahr bei autonomen Autos ist höher
"['intro_2', 'z_trans_12', 'Z.P6']",user,OTHER,Menschen mit Behinderung können im Zweifel aber auch schwierig intervenieren
['intro_62'],user,OTHER,Bei Unfällen kann nicht eingegriffen werden
[],user,OTHER,Viel zu viel gefahr
['intro_61'],user,Z.P4-1,Weniger Selbststeuerung
"['intro_1', 'z_trans_2', 'Z.P6']",user,Z.P8-1,Gefahren werden zu spät erkannt
['intro_62'],user,Z.P11-1,Neue Straßenführungen werden nicht erkannt
"['intro_2', 'z_trans_11', 'Z.P7']",user,Z.P2,Nimmt uns Arbeit ab
['intro_61'],user,Z.P2-1,Menschheit wird faul
[],user,Z.P8-1,"Menschenleben sollten nicht davon abhängen, ob eine KI ""gut trainiert"" wurde bzw. die Situation im Straßenverkehr sicher einschätzt"
['intro_61'],user,Z.P8-1,KIs können Situationen im Straßenverkehr nicht gut einschätzen und dies kann zu Toten führen
"['intro_3', 'z_trans_12', 'Z.P6']",user,NZ.G3,"Das stimmt! Gibt es bisher Autos ohne KI, mit denen mobilitätseingeschränkte Personen fahren können? Die wären sicherer"
['intro_62'],user,NZ.G3,Gibt es Autos ohne KI für mobilitätseingeschränkte Menschen?
"['intro_1', 'z_trans_11', 'Z.P7']",user,Z.P7,Und wie steigt man dann aus dem Fahrzeug aus? 😂
['intro_61'],user,Z.P7,Und wie steigt man dann aus dem Fahrzeug aus? 😂
"['intro_3', 'Z.P7', 'z_trans_13', 'Z.C2-1']",user,Z.C2-1,"Ok, aber du bringst einige Themen ein, die nicht auf die KI beim Autofahren selbst bezogen sind. Geschwindigkeitsbegrenzungen machen den Verkehr sicherer, KI nicht. Genauso sind Mechanismen, wie Parkassistenten (wie in der Aufgabe vorhin besprochen), nicht Teil des Themas, das wir hier diskutieren sollen."
['intro_61'],user,OTHER,"Da du es bei der zweiten Nachricht doch verstehst ;) : Ok, aber du bringst einige Themen ein, die nicht auf die KI beim Autofahren selbst bezogen sind. Geschwindigkeitsbegrenzungen machen den Verkehr sicherer, KI nicht. Genauso sind Mechanismen, wie Parkassistenten (wie in der Aufgabe vorhin besprochen), nicht Teil des Themas, das wir hier diskutieren sollen."
"['intro_3', 'z_trans_12', 'Z.P8']",user,Z.P8,"KIs müssen erstmal trainiert werden, mit sehr vielen unterschiedlichen Situationen, um überhaupt in der Lage sein zu können, zum Verkehr zugelassen zu werden"
[],user,Z.P12,Es macht das Fahrer effizienzer
"['intro_32', 'Z.P10', 'intro_1', 'Z.P10-1']",user,Z.P10-1,Dafür werden aber neue geschaffen und es hilft gegen den Fachkräftemangel
['intro_61'],user,Z.GP1,Im bereich der IT werden neue Arbeitsplätze geschaffen
"['intro_1', 'z_trans_13', 'Z.P8-1']",user,Z.C3,Sowohl der Mensch als auch die Maschine machen fehler
['intro_62'],user,Z.C3,"Es wird immer zu Unfällen in Straßenverkehr kommen, sowohl durch menschliche Fehler als auch durch fehler der KI"
[],user,Z.C11,Die Frage nach der Verantwortung im Fall eines Unfalls durch versagen der KI ist nicht geregelt
"['intro_32', 'Z.C11', 'intro_2', 'Z.C11-1']",user,Z.P12-2,"Es muss muss mehr Technik verbaut werden, die kaputt gehen kann"
['intro_61'],user,Z.P12-2,Es entstehen neue verschleißanfällige Teile im Auto die defekt sein können
"['intro_1', 'z_trans_2', 'Z.P6']",user,Z.P10-1,Bei Zulassung von Auto KI beispielsweise im öffentlichen Nahverkehr oder Gütertransport gehen Arbeitsplätze verloren
['intro_62'],user,Z.P10-1,Arbeitsplätze gehen verloren
"['intro_1', 'z_trans_13', 'Z.P7']",user,Z.P2,Ablenkung von der Aufmerksamkeit des Straßenverkehrs
['intro_61'],user,Z.P4-1,Verlorengehen vom Orientierungssinn der Menschen
"['intro_3', 'z_trans_11', 'Z.C2-1']",user,Z.P4-1,Selbstbestimmung geht verloren
['intro_61'],user,Z.P4-1,Die Selbstbestimmung des Menschen beim Autofahren geht durch Auto KI verloren
[],user,Z.P1,Zeitsparen
['intro_61'],user,Z.P1,Man kann zeit sparen indem man nicht selbst mit dem Auto fahren muss
"['intro_2', 'z_trans_12', 'Z.P8-1']",user,Z.GP2,Aber wenn sich diese Technologie durchsetzt und fast jeder damit fährt ist das kein Problem mehr
['intro_62'],user,Z.GP2,Aber wenn sich diese Technologie durchsetzt und quasi keine leute mehr fahren sondern nur Kis ist das kein Problem mehr
"['intro_3', 'z_trans_11', 'Z.C5']",user,INSULT,Das Argument ist schlecht
['intro_61'],user,OTHER,Da kann ich ja nichts dafür
"['intro_2', 'z_trans_12', 'Z.C10']",user,INSULT,"Ich bin mir nicht sicher, was du meinst. Kannst du das anders formulieren?"
['intro_62'],user,INSULT,"Ich bin mir nicht sicher, was du meinst. Kannst du das anders formulieren? 11:51"
"['intro_2', 'z_trans_11', 'Z.C2']",user,Z.C2-1,Aber es gibt in anderen Länder sowieso striktere Geschwindigkeitsbegrenzungen also sollte das kein größeres Problem sein
['intro_62'],user,Z.C2-1,In anderen Ländern gibt es schon striktere Geschwindigkeitsbegrenzungen und das funktioniert dort auch
[],user,Z.P11,"Wenn die Unfallrate durch einsetzen von AutoKI zurückgeht, macht dies die Straßen sicherer und rettet Menschenleben. Dies optimiert den Straßenverkehr."
"['intro_27', 'Z.P10', 'intro_3', 'Z.P10-1']",user,Z.P10-1-1,"Das habe ich zwar nicht gemeint, aber gut. Arbeitsplätze fallen zwar insofern weg, dass man keine LKW-Fahrer mehr bezahlen muss, allerdings entstehen durch den Einsatz von KI in der Automobilbrange auch neue Arbeitsplätze. Beispielsweiße die Einrichtung des KI Systems, deren Auswertung und Optimierung. Arbeiter müssen nur umgeschult werden."
"['intro_24', 'Z.P10-1-1', 'intro_4', 'z_trans_16', 'Z.C7']",user,Z.C7-1,"Die Ungerechtigkeitsproblematik resultiert allerdings aus dem kapitalistischen System, in dem wir leben, und nicht an der Nutzung von KI Systemen. Man kann sich nicht vor dem Fortschritt verschließen, nur weil es Anfangs für manche zu teuer ist."
['intro_61'],user,Z.C7-1,"Es ist zwar ungerecht, aber dennoch sinnvoll."
"['intro_1', 'z_trans_13', 'Z.P8-1']",user,Z.C3-2,Die KI Systeme werden diesbezüglich allerdings lernen und sich verbessern. Damit sich die KI verbessert muss man sie allerdings auch im Straßenverkehr testen.
['intro_62'],user,Z.C3-2,"Die KI wird besser, wenn man sie im Straßenverkehr einführt."
"['intro_2', 'z_trans_12', 'Z.C5']",user,FAQ.1,"KI Systeme sollen kein Kontrollorgan sein, sondern Assistenzsysteme. Wenn die KI ihren Job besser macht als der Mensch, kann diese in darin ja unterstützen."
"['intro_38', 'FAQ.1', 'FAQ.1-1', 'faq_trans_2', 'Z.C10']",user,CONSENT,Macht Sinn
[],user,Z.P9,"Durch eine solche AutoKI können leben im Straßenverkehr gerettet werden. In Notfallsituationen wird ein Computer nicht in Panik geraten und bessere Entscheidungen, als ein Mensch treffen."
['intro_61'],user,Z.P8,Ein Computer wird schneller und besser agieren als ein Mensch.
