prev_label,type,label,text
Z.K3,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
Z.K3-2,user,Z.K3-2,"Im Prinzip irren Ärzte sich ja genauso immer wieder oder man bekommt schlechte Diagnosen, weil die Zeit einfach fehlt. Hier wäre das dann hoffentlich so, dass durch den Einsatz von künstlicher Intelligenz die Behandlung der Patienten verbessert wird und nicht die Kosten einfach eingespart werden und sich gar nichts ändert..."
Z.K3-2,exp,Z.P5,"Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
Z.K3-2,exp,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
Z.P5,user,Z.K7,"Die emotionale Komponente bei einem Arzt ist nicht zu vernachlässigen. Von einem auftreten hängt stark ab, ob ich vertraue und dadurch auch zutraue mir zu helfen. Vor allem Krankheiten, die auf Stress beruhen können allein durch ""gut zureden"" besser werden. Das kann ich mir nicht vorstellen, dass eine KI das kann."
Z.P5,user,Z.K10,"Außerdem wäre es doch auch in der Anfangszeit für alte Menschen problematisch oder? Ich glaube nicht, dass meine Oma sich von einem Computer behandeln lassen wollen würde."
Z.K7,exp,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
Z.K2,user,NZ.K10,"Also für mich hört sich das so an, als gäbe es zu viele Probleme, in dem Fall denke ich, dass dieses System keine Zulassung bekommen sollte. Es könnte ja unterstützend fungieren. Oder hast du noch Argumente, warum das doch so sein sollte?"
NZ.K10,exp,Z.K10,"Patient*innen haben kein Vertrauen in die KI, da diese unpersönlich ist. Insbesondere ältere Patient*innen neigen zu Skepsis gegenüber technischen Geräten."
NZ.K10,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
Z.K10-1,user,FAQ.G1,"Wer entscheidet denn dann, was ein schwieriger Fall ist?"
FAQ.G1,exp,FAQ.G1,"Als schwierig würden wohl Fälle eingeteilt werden, die ausnahmsweise nicht nur durch KI entschieden werden können. Für die KI spricht außerdem, dass Patient*innen ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie haben. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
FAQ.G1,user,Z.K13,"Wenn ich darüber nachdenke, woher solche System kommen sollten, dann fallen mir da eigentlich nur die großen Internetfirmen wie Google oder Apple ein. Und dann wäre das schon sehr problematisch, wenn unsere Gesundheitswesen Schritt für Schritt in die Hände von großen Konzernen wandert. Damit würden ja auch alle Patientenakten bei den entwicklern des Systems landen oder?"
nz_trans_2,user,Z.K13,"Aus ethischer Sicht sollten große Firmen vermutlich nicht die Macht über die Gesundheit der Bevölkerung haben oder? Die Daten können ja dann wieder verwendet werden, um gewinn zu machen. Allein die Metadaten würden ja schon wieder ausreichen. Wenn jemand weiß, dass du in der letzten Woche drei mal beim Arzt warst, dann bist du vermutlich gerade in einer emotionalen Situation."
Z.K13,exp,Z.K13-1,"Es ist zwar davon auszugehen, dass die Daten anonymisiert gesammelt werden, allerdings verstehe ich deine Bedenken, dass auch diese z.B. weiterverkauft werden könnten. Dies müsste unterbunden werden."
,user,NZ.K10,Ärzte haben viel mehr Ahnung und einen fundierteren Hintergrund um Entscheidungen treffen zu können. Eigentlich gibt es die besten Entscheidungen wenn Künstliche Intelligenz die beratende Funktion einnimmt und der Mensch mit diesen helfenden Informationen die Entscheidung trifft
NZ.K10,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
nz_trans_1,user,FAQ.2,"Okay, also bin ich der Meinung dass eine KI niemals so gute Ergebnisse liefern kann wie ein Mensch. Aber in unserem Szenario gehen wir jetzt davon aus dass es möglich wäre?"
FAQ.2,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
Z.P1,user,FAQ.1,Aber kann eine KI ohne menschliche Hilfe arbeiten? In gewisser Weise sind doch immer Menschen nötig die der Person helfen. Zum Beispiel bei Atemnotstand muss jemand die Wiederbelebungsmassnahmen einleiten und diese durchführen. Diese Person muss dazu ausgebildet sein
FAQ.1,exp,Z.P5,"Ja, Notärzte und ähnliches Personal wird es weiterhin geben. In unserem Szenario ist hauptsächlich der typische Arztbesuch aufgrund nicht dringender Symptome und die anschließende Diagnose erfasst. Ein Argument für den Einsatz der KI: Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
Z.P5,user,Z.GK3,Das Problem ist eine KI wird nur leider auch auf Wirtschaftlichkeit trainiert werden. Das ist natürlich sinnvoll um möglichst kostengünstige Entscheidungen zu treffen. Aber kann eine KI dann im Zweifelsfall auch für das Wohl des Menschen entscheiden? Wenn eine kostengünstige Therapie nicht unbedingt die beste wäre?
Z.GK3,exp,Z.P3,"Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
,user,NZ.K10,Ich bin dafür dass KI im Gesundheitssystem genutzt wird. Jedoch nur als beratende Funktion und darf für Ideen Tipps und Informationen genutzt werden. Die wirklichen Entscheidungen in Diagnostik und Therapie soll ein Mensch treffen
NZ.K10,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
Z.U,exp,Z.P2,Die Anwendung einer KI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt*innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegesatz zum menschlichen Gehirn nicht.
Z.P2,user,FAQ.2,Aber sie kann keinen Spezialist ersetzen der perfekt ausgebildet ist auf seinem Gebiet.
FAQ.2,exp,Z.P3,"Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
Z.P3,user,NZ.K10,Ja deshalb soll eine KI auch eingesetzt werden um Ärzten als beratende Hilfe zur Seite zu stehen.
Z.P3,user,Z.K2,Eine Entscheidung sollte angepasst an das Individuum sein und nicht an Statistiken. Wenn eine KI alleine Entscheidungen trifft bezieht sich diese nur auf die Vergangenheit
nz_trans_1,user,FAQ.G1,Aber wie soll das funktionieren?
Z.P2-1,user,Z.P2,Aber diese Ermpdungserscheinung haben auch Ärzte die nach einer 24h Schicht im Krankemhaus noch wichtige Entscheidungen treffen müssen
Z.P2,exp,Z.P2,"Die Effizienz der KI folgt gerade daraus, dass eine KI das was sie einmal gelernt hat niemals vergisst und anders als Ärzt*innen nicht auf Arbeitszeiten beschränkt, sondern 24/7 einsatzfähig ist."
,user,Z.P2,"Ich glaube eine KI ist über den Tag hin leistungsfähiger und macht weniger Fehler aufgrund von Überlastung oder Erschöpfung. Für diagnostische Zwecke halte ich es für sinnvoll und würde den Ärzten viel Zeit sparen, die sie für die Behandlung der Patienten nutzen können"
Z.P2,exp,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
Z.K2,user,FAQ.1,"Könnte man der KI die Lebensumstände nicht beibringen? Sie könnte auf bestimmte Merkmale reagieren, z.B. Hygiene"
FAQ.1,exp,Z.K10,"Patient*innen haben kein Vertrauen in die KI, da diese unpersönlich ist. Insbesondere ältere Patient*innen neigen zu Skepsis gegenüber technischen Geräten."
Z.K10,user,Z.K10-2,"Allerdings steigt auch die Skepsis gegenüber Ärzten und Krankenhäuser, da vermehrt gespart wird, Ärzte zunehmend überlastet sind und aus dem Ausland kommen, was bei älteren Leuten auch zu Skepsis führt. Vielleicht sehen ältere Leute es dann auch positiv, dass sich was verändert."
Z.K10-2,exp,Z.K3,Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen.
NZ.U,exp,Z.K5,"Bei der Diagnostik und Therapieentscheidung sind die Erklärungen der Ergebnisse wichtig, da letztlich die Patient*innen ihrer Therapie zustimmen müssen. Eine KI tut sich schwer eine auf das intellektuelle Niveau der Patient*innen angepasste Erklärung zu liefern."
NZ.U,exp,Z.K9,Durch die große Menge gesammelter Daten werden Kliniken interessanter für Cyberangriffe.
Z.K9,user,Z.P7,Das sehe ich als einen der größten Nachteile einer KI. Allerdings ist die aktuelle analoge Situation in Krankenhäuser auch nicht ideal. Momentan muss alles noch händisch erfasst werden wodurch es auch zu vielen Fehlern kommen kann und was einen enormen Aufwand für das Personal darstellt.
Z.P7,exp,Z.K14,Ärztliche Diagnosen werden in Zeiten des digitalen Wandels überflüssig und das Berufsbild von Ärzt*innen allgemein könnte dadurch als nicht zukunftssicher gelten.
Z.K14,user,NZ.K10,Ärzte werden notwendig sein um die Diagnosen und Behandlungen zu überwachen.
Z.K14,user,Z.K6,"Auch sehe ich nicht, dass KIs Operationen und andere Behandlungen durchführen können"
NZ.U,user,Z.K9,Eine behandelnde KI sehe ich kritischer aufgrund von Cyberangriffen während des Eingriffes oder Versicherungsaspekten.
NZ.U,user,Z.K14-1,"Das Berufsbild des Arztes sehe ich nicht gefährdet, da er wichtig für die direkte Kommunikation mit dem Patienten ist und die Behandlungen"
,user,NZ.K10,"Ich denke eine KI kann einen Arzt nicht komplett ersetzen, allerdings in der Entscheidungsfindung unterstützen."
,user,Z.P6,"Die KI kann u.U. auf ein größeres Wissen zugreifen, und die Wahrscheinlichkeiten verschiedener Krankheiten besser einschätzen."
,user,Z.K7,"Allerdings mangelt es ihr an Empathie, was für viele Patienten wichtig ist. Sie wollen von einem Menschen verstanden und ernstgenommen werden."
Z.K7,exp,Z.P6,"Für die KI spricht, dass sie angeben kann, mit welcher Wahrscheinlichkeit sie von dem Vorliegen der diagnostizierten Krankheit ausgeht."
Z.K7,exp,Z.P6-1,"Die meisten Patienten können Wahrscheinlichkeitsangabe nicht korrekt interpretieren, deswegen kann deren Angabe auch kontraproduktiv sein. Wahrscheinlichkeiten sollten nur auf explizite Nachfrage des Patienten angegeben werden."
NZ.U,exp,Z.K7,"Patient*innen sind bei schwerwiegenden medizinischen Entscheidungen keine rationalen Entscheider. Die Berücksichtigung ihrer Gefühlslage, bis hin zur Verzweiflung, ist essentiell. Hier stößt eine KI an ihre Grenzen, da ihr das Einfühlungsvermögen gänzlich fehlt."
NZ.U,exp,Z.P1,"Allerdings wäre eine KI rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
NZ.U,exp,Z.P3,"Das ist leider nicht das Thema unserer Diskussion. Fallen dir noch weitere Argumente für oder gegen den Einsatz von KI ein? Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb. Denkst du, dass man Menschen die KI dann unter diesem Gesichtspunkt überhaupt vorenthalten darf?"
Z.P3,user,NZ.K10,"Wenn die KI über ein solch breites Wissen verfügt, sollte sie in Zukunft stets zur Diagnosefindung berücksichtigt werden. Allerdings sollte die Entscheidungshoheit beim behandelnden Arzt liegen. Dies vermittelt zusätzliches Vertrauen."
Z.K10-1,user,FAQ.G1,Und wird die von der KI getroffene Entscheidung von einem Arzt validiert?
FAQ.G1,exp,Z.K12,"Nur in besonders schwierigen Fällen werden Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen. Es ist davon auszugehen, dass Fehler der KI von den Patient*innen weniger akzeptiert werden als Fehler von Ärzt*innen, da aufgrund der Erfolgsquote der KI mit einer ganz anderen Erwartungshaltung zur Untersuchung gegangen wird."
Z.K12,user,Z.K3,"Und wer trägt die Verantwortung für die KI bei falsch getroffenen Diagnosen, die im schlimmsten Fall tödlich enden?"
NZ.U,exp,Z.P1,Vielen Dank für das Gespräch!
Z.P2,user,Z.K15,"Aber wie kann sichergestellt werden, dass die KI keine Fehler macht?"
Z.K15,exp,Z.K15-1,"Fehler sind bei einer KI deshalb deutlich unwahrscheinlicher, da eine KI bei jedem Update ausführlich und automatich getestet werden können. Vergleichbare Prüfungen für Ärzte gibt es nicht."
Z.K15,exp,Z.K1,"KI in der Medizin führt dazu, dass Patient*innen alleine bleiben, weil sie keine menschliche Zuwendung bekommen. Persönlicher Kontakt mit Ärzt*innen und aufmunternder Zuspruch kann schon zu einer Verbesserung des Zustands beitragen."
Z.K1,user,NZ.K10,Das würde eher dafür sprechen dass Ärzte nicht komplett durch eine KI ersetzt werden sollten sondern diese vor allem als Analysetool unterstüzend nutzen sollten.
Z.K1,user,FAQ.1,Mich würde noch interessieren woher die KI ihre Informationen bezieht?
Z.K8,exp,Z.K2,Eine KI kann die Lebensumstände der Patient*innen in die Untersuchung nicht mit einbeziehen. Die konkrete Fragestellung und die gesamte Krankheitssituation der Patient*innen sind jedoch für die Diagnostik und die passende Therapieentscheidung enorm wichtig.
Z.K2,user,Z.K2,Wie kann die KI dann eine passende Behandlung gewährleisten wenn die Lebensumstände nicht einbezogen werden können?
Z.K2,exp,Z.P1,"Eine KI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne KI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich."
Z.P1,user,Z.K2,Somit wird allerdings keine individuelle Behandlung gewährleistet was trotzdem immer auch ein wichtiger Faktor sein kann.
Z.P1,user,Z.P2,Die Vorteile der KI gegenüber dem Menschen was Leistungsfähigkeit angeht verstehe ich.
Z.P1,user,Z.K1,Kann eine KI auch den Placeboeffekt verstehen und anwenden?
Z.K2,exp,Z.K1-1,"Weist die KI eine hervorragende Erfolgsquote auf, könnte das Vertrauen darin, die bestmögliche Behandlung zu bekommen, ebenfalls für einen psychische Stärkung sorgen. Ferner ist die KI in unserem Szenario ein zertifizierter Web-Service, der mit Patient*innen in natürlicher Sprache kommunizieren kann. Ihre medizinischen Daten erlangt die KI durch Untersuchungszentren, in denen medizinisches Fachpersonal die Patient*innen krankheitsbedingt untersucht, wodurch persönlicher Kontakt hergestellt wird."
Z.K2,exp,Z.K3,Bei Fehlentscheidungen der KI werden sehr hohe Schadensersatzforderungen entstehen und die Hersteller*innen könnten für diese Fehlentscheidungen der KI verantwortlich gemacht werden. Die Anreize für die Hersteller*innen eine KI zu entwickeln würden wegfallen.
Z.K1-1,user,Z.K9,Kann die KI anfällig für Cyberangriffe sein?
Z.K9,exp,Z.K9,Durch die große Menge gesammelter Daten werden Kliniken interessanter für Cyberangriffe.
Z.K9,exp,Z.K9-1,"Mit der zunehmenden Digitalisierung, etwa mit Einführung der digitalen Patient*innenakte, müssen sich Kliniken ohnehin stärker gegen Cyberangriffe schützen. Die fertigen Systeme laufen im geschützten Bereich der Klinik und unterliegen dem gleichen Schutz wie Patient*innendaten."
Z.U,exp,Z.P3,"Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
Z.P3,user,Z.GP2,Die Vorteile der KI im diagnostischem Aspekt sind für mich überzeugend.
Z.P3,user,NZ.K10,Ich finde trotzdem sie Ärzt*innen nicht komplett ersetzen sollte
Z.GP2,exp,Z.K14,Ärztliche Diagnosen werden in Zeiten des digitalen Wandels überflüssig und das Berufsbild von Ärzt*innen allgemein könnte dadurch als nicht zukunftssicher gelten.
Z.K14,user,Z.K14-1,Ich glaube nicht dass der Beruf des Arztes bald ersetzt wird und das Berufsbild dadurch unsicher wird
Z.K14-1,exp,Z.P4,"In vielen medizinischen Bereichen übersteigt die Nachfrage an Fachpersonal das Angebot, da ärztliche Leistungen immer mehr in Anspruch genommen werden. Gerade durch das Altern der sogenannten Babyboomer, sprich Menschen der geburtenstarken Jahrgänge von 1955 bis 1969, wird es zu einem vorübergehend ansteigenden Versorgungsbedarf kommen. Die KI kann für Abhilfe sorgen und mithilfe ihres Einsatzes auch dem demografischen Wandel in ländlichen Regionen begegnen. Dieser zeigt sich unter anderem ebenfalls im Mangel von Ärzt*innen in diesen Gebieten."
,user,Z.K7,"Hallo Wall-E, ich bin gegen dieses Szenario. Meiner Ansicht nach ist die Empathie, die ein Arzt seinen Patienten entgegenbringt, sowohl im Anamnesegespräch als auch im weiteren verlauf während der Behandlung, ein zu wichtiger Teil des Gelingens, als dass es durch einen unfehlbaren Roboter ersetzt werden könnte. Ein Mensch kann zwar Fehler machen, aber erhält im Gegenzug für sein Einfühlungsvermögen das Vertrauen des Patienten, was über alle Fachbereiche hinweg unabdingbar für den Heilungserfolg ist."
Z.K7,exp,Z.K10-1,"In unserem Szenario werden die Menschen in Untersuchungszentren durch medizinisches Personal krankheitsbedingt untersucht. Die Ergebnisse werden von der KI ausgewertet und anhand dessen Diagnosen und therapeutische Entscheidungen getroffen. Es ist davon auszugehen, dass das Vertrauen der Patient*innen mit steigender Leistung der KI sichtlich steigen wird, zumal besonders schwierige Fälle an Kompetenzzentren mit den besten Fachärzt*innen überwiesen werden."
Z.K7,exp,Z.P3,"Patient*innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Therapie. Eine KI ist, im Gegensatz zu Ärzt*innen, die sich mühsam weiterbilden müssen, immer auf dem aktuellen Stand der Forschung. Dadurch können neue Behandlungsmethoden schneller eröffnet werden als im konventionelle Medizinbetrieb."
Z.U,exp,Z.P5,"Der Einsatz von KI ist unter mehreren Gesichtspunkten kostengünstiger. Es können unter anderem Personalkosten eingespart werden, wenn die KI Arbeiten von Ärzt*innen übernehmen kann. Durch die vielseitigen Vorteile des Einsatzes von KI könnte eine qualitätsgesicherte Patientenversorgung bei zugleich hoher Wirtschaftlichkeit erreicht werden."
Z.P5,user,Z.K16,"Dein Argument zur Kostenersparnis erscheint mir einleuchtend. Bringt mich aber zu einem anderen Punkt. Wenn die KI die Arbeit von Ärzten übernimmt und Ärzte aber dennoch über die KI Wachen sollen, wie im Szenario beschrieben, wie wird die Ausbildung dieser Ärzte sicher gestellt? Das herausragende an einem menschlichen Arzt ist sein Erfahrungsschatz, in vielen Situationen sogar wichtiger als der Wissensschatz. Doch dieser wird durch die tägliche Interaktion mit Patienten und gemeinsame Entscheidungsfindung gebildet. Wenn es diese Form des ""Erfahrungen Sammeln"" nicht mehr gibt, stellt sich dir Frage was für Ärzte das dann wären und ob sie, wenn eine KI ausfällt die richtigen Entscheidungen treffen könnten. Eine funktionierende Kontrollinstanz ist aber unabdingbar. Meines Erachtens sollte man sich nicht vollumfänglich auf Computer zu verlassen, man denke nur an einen Stromausfall."
Z.K16,exp,Z.K14-1,"Medizinisches Personal zur korrekten Erhebung der Patientendaten ist weiterhin notwendig. Zudem sind Spitzenärzt*innen für die Problemfälle und die Weiterentwicklung der KI notwendig, ebenso für die Notfallbehandlung. In der Masse wird es aber viel weniger Ärzt*innen geben als bisher."
