,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
12,Z.P3-3,Z,Con,Z.P3,,,,auch eine SchiriKI /wird Fehler machen.,Auch eine SchiriKI wird Fehler machen.,"Eine SchiriKI täuscht eine Objektivität vor, die sie nicht hat, da sie auch Fehler machen wird.",Z.GP3,,
13,Z.P3-3-1,Z,Pro,Z.P3-3,,,,eine SchiriKI /macht weniger Fehler als Menschen.,eine SchiriKI macht weniger Fehler als Menschen.,"Eine KI als Schiedsrichter wird weniger Fehler machen, als Menschen.",Z.GP3,,
14,Z.P3-4,Z,Con,Z.P3,,,,die SchiriKI /hätte keine Autorität auf dem Platz.,die SchiriKI hätte keine Autorität auf dem Platz.,Eine SchiriKI hat keine Autorität auf dem Platz. Es wird weiterhin zu Diskussionen und Protesten auf dem Spielfeld kommen.,Z.GP3,,
15,Z.P3-4-1,Z,Pro,Z.P3-4,,,,das Autoritätsproblem /wird durch einen Menschen gelöst.,das Autoritätsproblem wird durch einen Menschen gelöst.,"In unserem Szenario gibt es einen Menschen auf dem Platz, der die Anweisungen der Schiri-KI kommuniziert und ihr somit Autorität gibt. ",Z.GP3,,
16,Z.P3-4-1-1,Z,Con,Z.P3-4-1,,,,ein Schiedsrichter ohne Entscheidungsgewalt /hat weniger Autorität.,ein Schiedsrichter ohne Entscheidungsgewalt hat weniger Autorität.,"Ob eine ""Autoritätsperson"", die lediglich Entscheidungen der Schiri-KI kommuniziert, Autorität genießen kann ist äußerst fraglich. Das wäre vielleicht sogar weniger autoritätsfördernder als eine direkt in den Stadionbildschirmen eingeblendete Entscheidung des Ergebnisses der Schiri-KI.",Z.GP3,,
17,Z.P3-4-2,Z,Pro,Z.P3-4,Z.P7,,,die SchiriKI /überzeugt durch Fakten.,die SchiriKI überzeugt durch fakten.,Umso transparenter die Begründung einer Entscheidung der SchiriKI ist umso weniger Diskussionen finden statt. Ein Beispiel ist das Vorgehen beim Abseits. Hier wird einfach die Faktenlage durch die Kameratechnik im Nachgang grafisch nachvollzogen.,Z.GP3,,
18,Z.P4,Z,Pro,,,,,eine SchiriKI /kann nicht eingeschüchtert werden.,Eine SchiriKI kann nicht eingeschüchtert werden.,Eine SchiriKI kann nicht eingeschüchtert werden.,Z.GP1,3,0
19,Z.P4-1,Z,Con,Z.P4,,,,menschliche Schiedsrichter /sind das Hinterfragen ihrer Entscheidungen gewohnt.,menschliche Schiedsrichter sind das Hinterfragen ihrer Entscheidungen gewohnt.,"Auch menschliche Schiedsrichter lassen sich nicht einschüchtern und sind es gewohnt, wenn erhitzte Spieler ihre Entscheidung angreifen.",Z.GP1,,
20,Z.P-4-1-1,Z,Pro,Z.P4-1,,,,eine SchiriKI /wäre nicht bestechlich.,eine SchiriKI wäre nicht bestechlich.,Eine SchiriKI ist nicht vergleichbar beeinflussbar oder käuflich wie ein menschlicher Schiedsrichter.,Z.GP1,,
21,Z.P5,Z,Pro,,Z.P2,,,eine SchiriKI /behandelt alle Mannschaften gleich.,eine SchiriKI behandelt alle Mannschaften gleich.,"Eine SchiriKI kann auch bei internationalen Wettbewerben oder Wettbewerben mit großen Leistungsgefälle verwendet werden, um eine faire Behandlung aller Mannschaften zu gewährleisten.",Z.GP1,,
22,Z.P5-1,Z,Con,Z.P5,,,,eine SchiriKI /könnte einen Underdog nicht bevorzugen.,eine SchiriKI könnte einen Underdog nicht bevorzugen.,"Eine SchiriKI gibt der schwächeren Mannschaft weniger Chancen, trotzdem zu gewinnen. ",Z.GP1,,
23,Z.P5-1-1,Z,Pro,Z.P5-1,,,,die Bevorzugung einer Mannschaft /ist nicht sinnvoll.,die Bevorzugung einer Mannschaft ist nicht sinnvoll.,Inwieweit die Bevorzugung einer schwächeren Mannschaft sinnvoll erscheint ist zu bezweifeln.,Z.GP1,,
24,Z.P5-2,Z,Con,Z.P5,,,,erfahrene Schiedsrichter /sind sich der Notwendigkeit objektiver Beurteilungen in großen Wettbewerben bewusst.,Erfahrene Schiedsrichter sind sich der Notwendigkeit objektiver Beurteilungen in großen Wettbewerben bewusst.,"Erfahrene Schiedsrichter, die in internationalen Wettbewerben oder in Wettbewerben mit großem Leistungsgefälle pfeifen, müssen nicht allein aufgrund ihrer Eigenschaft als Mensch hierfür weniger geeignet sein. Schließlich sind Menschen sich stets solcher Gefälle und dem Erfordernis einer objektiven Behandlung auch in solch einem Fall bewusst.",Z.GP1,,
25,Z.K5,Z,Con,,,,,einer SchiriKI /fehlt die menschliche Intuition.,Einer SchiriKI fehlt die menschliche Intuition.,"Eine SchiriKI kann nicht die menschliche Intuition und Erfahrung von Schiedsrichtern nutzen, um Entscheidungen zu treffen.",Z.GK1,2,0
26,Z.K5-1,Z,Pro,Z.K5,,,,Intuition der KI /entsteht durch große Datenmenge.,Intuition der KI entsteht durch große Datenmenge.,Eine SchiriKI kann die menschliche Erfahrung durch das Training mit Daten in Form des überwachten Lernens nutzen. Daraus entwickelt sich eine ganz eigene Art von Intuition.,Z.GK1,,
27,Z.K6,Z,Con,,,,,eine SchiriKI /kann keine Verantwortung übernehmen.,Eine SchiriKI kann keine Verantwortung übernehmen.,Eine SchiriKI kann nicht die Verantwortung und das Gewissen eines menschlichen Schiedsrichters haben.,Z.GK1,1,0
28,Z.K6-1,Z,Pro,Z.K6,,,,für Schiedsrichter:innen /geht es nur um die Einhaltung von Regeln.,für Schiedsrichter:innen geht es nur um die Einhaltung von Regeln.,Verantwortung und Gewissen sind für die Tätigkeit als Schiedsrichter nicht erforderlich. Es geht um die Einhaltung der Spielregeln. Das Einsehen eigenen Unrechts und die Übernahme von Verantwortung ist bei der Darstellung von Fakten nicht notwendig.,Z.GK1,,
29,Z.K1,Z,Con,,,,,eine SchiriKI /funktioniert nicht gut genug.,Eine SchiriKI funktioniert nicht gut genug.,"Eine SchiriKI funktioniert nicht gut genug, insbesondere bei subtilen Variationen eines Regelverstoßes.",Z.GK1,4,
30,Z.K1-1,Z,Pro,Z.K1,"Z.K1, Z.K5",,,die SchiriKI /wird ständig trainiert und verbessert.,Die SchiriKI wird ständig trainiert und verbessert.,"Eine SchiriKI wird kontinuierlich verbessert, indem sie mit neuen Situationen nachtrainiert wird und geänderte Regeln beigebracht bekommt. Es gibt beim Fußball ohnehin nur eine begrenzte Anzahl von Entscheidungen, die sich auch mit den derzeitigen Methoden des Deep Learning sehr gut trainieren lassen, da es viele Trainingsbeispiele gibt. ",Z.GK1,,
31,Z.K1-1-1,Z,Con,Z.K1-1,Z.P2-2,,,Fehler in den Daten /könnten Fehler der KI verursachen.,Fehler in den Daten könnten Fehler der KI verursachen,"Da die SchiriKI anhand von Datensätzen trainiert wird, können ihr bei fehlerhaften Daten auch entsprechende Fehler antrainiert werden. Entsprechend muss gewährleistet werden, dass die Daten fehlerfrei sind, sonst wird die SchiriKI am Ende nicht weniger Fehler als ein menschlicher Schiedsrichter machen.",Z.GK1,,
32,Z.K1-1-1-1,Z,Pro,Z.K1-1-1,,,,"Fehler in den Daten /werden leichter erkannt, als live im Spiel.","Fehler in den Daten werden leichter erkannt, als live im Spiel.","Da fehlerhafte Entscheidungen bei der Auswahl der Datensätze viel leichter erkannt werden, als von einem menschlichen Schiedsrichter in der konkreten Situation, hat die SchiriKI aufgrund ihrer Vorbereitung auf konkrete Anwendungsbeispiele einen erheblichen Vorteil gegenüber menschlichen Schiedsrichtern.",Z.GK1,,
33,Z.P6,Z,Pro,,,,,eine SchiriKI /entscheidet sofort.,Eine SchiriKI entscheidet sofort.,Eine SchiriKI entscheidet in Echtzeit ohne Nachkontrolle und kann entsprechend Entscheidungen schneller als ein Mensch treffen. Hierdurch können Diskussionen verringert werden und der Spielfluss verbessert werden.,Z.GP1,4,
34,Z.P6-1,Z,Con,Z.P6,,,,menschliche Schiedsrichter:innen /entscheiden ebenfalls schnell.,menschliche Schiedsrichter:innen entscheiden ebenfalls schnell.,Die Entscheidungen der menschlichen Schiedsrichter erfolgen ebenfalls innerhalb weniger Sekunden.,Z.GP1,,
35,Z.P6-1-1,Z,Pro,Z.P6-1,,,,die SchiriKI /kann Entscheidungen ohne die Hilfe dritter treffen.,die SchiriKI kann Entscheidungen ohne die Hilfe dritter treffen.,Die Abstimmung der menschlichen Schiedsrichter untereinander benötigt Spielzeit. Die direkte Erfassung der Fakten durch unterschiedliche Blickwinkel durch Kamerasysteme ermöglicht der SchiriKI eine unmittelbare eigene Entscheidung ohne das Verlassen auf die Aussagen Dritter (Linienrichter etc.),Z.GP1,,
36,Z.P7,Z,Pro,,Z.P3-4-2,,,eine SchiriKI kann /Entscheidungen durch Bilder erklären.,Eine SchiriKI kann Entscheidungen durch Bilder erklären.,"Eine SchiriKI kann ihre Entscheidungen auf Monitoren (im Stadion, im Fernsehen) begründen und durch Zeigen ähnliche Situationen erklären. Hierdurch können ihre Entscheidungen auch überprüft und nachverfolgt werden.",Z.GP3,3,
37,Z.P7-1,Z,Con,Z.P7,,,,subtile Regelverstöße /könnten schwierig sein.,subtile Regelverstöße könnten schwierig sein.,"Diese Überprüfbarkeit und Nachvollziehbarkeit stößt allerdings an ihre Grenzen, sobald es nur um subtile Regelverstöße geht.",Z.GP3,,
38,Z.P8,Z,Pro,,,,,"eine SchiriKI /bemerkt alle Regelverstöße, auch ohne Ballkontakt.","Eine SchiriKI bemerkt alle Regelverstöße, auch ohne Ballkontakt.","Eine SchiriKI kann sämtliche Regelverstöße während eines Spiels überwachen und Entscheidungen treffen, was menschlichen Schiedsrichtern möglicherweise aufgrund von Erschöpfung oder Unaufmerksamkeit entgeht.",Z.GP1,2,
39,Z.P8-1,Z,Con,Z.P8,,,,menschliche Schiedsrichter:innen /haben auch Unterstützung.,menschliche Schiedsrichter:innen haben auch Unterstützung.,Auch ein menschlicher Schiedsrichter ist nicht völlig auf sich allein gestellt. Ihm stehen unterstützende Schiedsrichter und Technologien zur Seite.,Z.GP1,,
40,Z.K2,Z,Con,,,,,eine SchiriKI /kann gezielt getäuscht werden.,Eine SchiriKI kann gezielt getäuscht werden.,"Eine SchiriKI kann gezielt getäuscht werden, wenn die Spieler die Schemata kennen.",Z.GK1,3,
41,Z.K2-1,Z,Pro,Z.K2,,,,durch Nachtrainieren /lernt SchiriKI Täuschungen.,durch Nachtrainieren lernt SchiriKI Täuschungen.,"Eine SchiriKI wird ständig nachtrainiert, so dass sie auch gezielte Täuschungen schnell lernt.",Z.GK1,,
42,Z.K3,Z,Con,,,,,eine SchiriKI /funktioniert nicht bei schlechter Sicht.,Eine SchiriKI funktioniert nicht bei schlechter Sicht.,"Eine SchiriKI funktioniert nicht bei schlechter Sicht. Sie kann durch Nebelkerzen und ähnliches verwirrt werden, dann müsste das Spiel unterbrochen oder sogar abgebrochen werden. ",Z.GK4,5,
43,Z.K3-1,Z,Pro,Z.K3,,,,bei schlechter Sicht /werden Spiele ohnehin unterbrochen.,bei schlechter Sicht werden Spiele ohnehin unterbruchen.,Das ist wahrscheinlich korrekt. Aber unter diesen Umständen müsste ein Spiel auch ohne SchiriKI unterbrochen oder abgebrochen werden. ,Z.GK4,,
44,Z.K3-2,Z,Pro,Z.K3,,,,"viele Kameras /haben vermutlich bessere Sicht, als ein Mensch.","viele Kameras haben vermutlich bessere Sicht, als ein Mensch.","Diese Hypothese verkennt die technischen Möglichkeiten von Kamerasystemen. Um menschliche Körper erfassen zu können, kann auch mit Wärmebildgeräten gearbeitet werden.",Z.GK4,,
45,Z.K4,Z,Con,,,,,eine SchiriKI /kann wegen technische Störungen ausfallen.,Eine SchiriKI kann wegen technische Störungen ausfallen,Eine SchiriKI kann aufgrund technischer Ausfälle oder Störungen fehlschlagen und falsche Entscheidungen treffen.,Z.GK4,3,
46,Z.K4-1,Z,Pro,Z.K4,,,,ein Ausfall der SchiriKI /wird schnell auffallen.,Ein Ausfall der SchiriKI wird schnell auffallen.,"Fällt die SchiriKI aus, wird dies der ""Autoritätsperson"" innerhalb kurzer Zeit auffallen, wenn nicht sowieso bereits das System der SchiriKI über eine eingeschränkte Nutzung informiert.",Z.GK4,,
47,Z.K7,Z,Con,,,,,eine SchiriKI /ist eine Black Box und kann nicht erklären.,Eine SchiriKI ist eine Black Box und kann nicht erklären.,"Eine SchiriKI begegnet genauso wie andere KI-Systeme der BlackBox-Problematik, sodass eine Begründung einer Entscheidung gerade nicht möglich ist.",Z.GK3,0,
48,Z.K7-1,Z,Pro,Z.K7,,,,eine SchiriKI /würde Referenzszenen zeigen.,eine SchiriKI würde Referenzszenen zeigen.,Die BlackBox-Problematik trifft hier nicht zu. Die SchiriKI muss nur die entscheidende Szene und zur Begründung ähnliche Referenzszenen zeigen (z.B. bei Handspiel oder Festhalten des Gegners usw.).,Z.GK3,,
49,Z.K7-1-1,Z,Con,Z.K7-1,,,,das Zeigen ähnlicher Szenen /funktioniert nicht bei subtilen Unterschieden.,das Zeigen ähnlicher Szenen funktioniert nicht bei subtilen Unterschieden.,Das Zeigen ähnlicher Szenen kann auf subtile Unterschiede nicht eingehen.,Z.GK3,,
50,Z.P9,Z,Pro,,,,,eine SchiriKI /ist kostengünstiger als ein Schiedsrichtergespann.,Eine SchiriKI ist kostengünstiger als ein Schiedsrichtergespann,"Eine SchiriKI benötigt eine einmalige Investition in Kamera-Technik im Stadion und Software zur Auswertung, aber pro Spiel ist nur noch ein Kommunikator statt einem vierköpfigen Schiedsrichtergespann notwendig. Sonst anfallende Lohn- und Sozialversicherungskosten entfallen bzw. verringern sich.",Z.GP2,2,
51,Z.P9-1,Z,Con,Z.P9,,,,die SchiriKI /beraubt Schiris ihrer Arbeitsplätze.,die SchiriKI beraubt Schiris ihrer Arbeitsplätze,"Eine SchiriKI könnte dazu führen, dass menschliche Schiedsrichter ihre Arbeit verlieren und sich dadurch möglicherweise negative wirtschaftliche Auswirkungen ergeben.",Z.GP2,,
52,Z.P9-2,Z,Con,Z.P9,,,,die SchiriKI /verursacht laufend hohe Kosten.,die SchiriKI verursacht laufend hohe Kosten.,"Von einer einmaligen Investition kann nicht gesprochen werden. Für die SchiriKI müssen Supportdienstleistungen in Anspruch genommen werden, bei denen laufende Kosten entstehen.",Z.GP2,,
53,Z.P10,Z,Pro,,,,,eine SchiriKI /reduziert die Abhängigkeit von Schiedsrichtern.,Eine SchiriKI reduziert die Abhängigkeit von Schiedsrichtern,"Eine SchiriKI kann dazu beitragen, dass die Abhängigkeit von menschlichen Schiedsrichtern verringert wird.",Z.GP4,2,
54,Z.P11,Z,Pro,,,,,eine SchiriKI /ist modern.,Eine SchiriKI ist modern.,"Die Verwendung einer SchiriKI zeigt, dass der Fußball mit der Zeit geht und sich an die neuesten Technologien anpasst.",Z.GP3,1,
55,Z.P11-1,Z,Con,Z.P11,,,,Vertretende Traditioneller Werte /könnten sich abwenden.,Vertretende Traditioneller Werte könnten sich abwenden.,Befürworter traditionellen Handelns könnten sich vom Fußball abwenden und damit zu einem Rückgang an Werbe- und Spendeneinnahmen führen.,Z.GP3,,
56,Z.K8,Z,Con,,,,,Zum Fußball /gehört die Unberechenbarkeit auch der Schiedsrichter.,Zum Fußball gehört die Unberechenbarkeit auch der Schiedsrichter.,"Zum Fußball gehört die partielle Unberechenbarkeit von Schiri-Entscheidungen. Durch eine SchiriKI wird das Spiel verändert und die Emotionalität reduziert, die zum Reiz des Spieles beiträgt.",Z.GK3,5,
57,Z.K8.1,Z,Pro,Z.K8,,,,Schiris für Fehlentscheidungen zu kritisieren ohne Verbesserung anzustreben /ist widersprüchlich.,Schiris für Fehlentschiedungen zu kritisieren ohne Verbesserung anzustreben ist widersprüchlich.,"Das ist ein Widerspruch in sich, wenn man einerseits Schiedsrichter für Fehlentscheidungen beschimpft, aber andererseits den Zustand nicht verbessern will.",Z.GK3,,
58,Z.K8.1.1,Z,Con,Z.K8.1,,,,Menschen /sind widersprüchlich.,Menschen sind widersprüchlich.,Menschen sind nun mal widersprüchlich.,Z.GK3,,
59,Z.K9,Z,Con,,,,,eine Schiri-KI /hat keine Autorität auf dem Platz.,Eine Schiri-KI hat keine Autorität auf dem Platz,Eine Schiri-KI hat keine Autorität auf dem Platz,Z.GK3,3,
60,Z.K9.1,Z,Pro,Z.K9,,,,eine Person auf dem Platz /würde die Entscheidungen kommunizieren.,ein Person auf dem Platz würde die Entscheidungen kommunizieren.,"Im Szenario ist ein Schiedsrichter bzw. eine Schiedsrichterin auf dem Platz vorgesehen, der oder die die Entscheidungen der Schiri-KI kommuniziert.",Z.GK3,,
